,external_urls,followers,genres,href,id,images,name,popularity,type,uri
2,{'spotify': 'https://open.spotify.com/artist/2e8RAcYXYt5IStoaaQWcG8'},"{'href': None, 'total': 105165}",[],https://api.spotify.com/v1/artists/2e8RAcYXYt5IStoaaQWcG8,2e8RAcYXYt5IStoaaQWcG8,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebba0d39c4f961ee334b3fb2f4', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ba0d39c4f961ee334b3fb2f4', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ba0d39c4f961ee334b3fb2f4', 'width': 160}]",Greg Ferreira,45,artist,spotify:artist:2e8RAcYXYt5IStoaaQWcG8
3,{'spotify': 'https://open.spotify.com/artist/3Gm5F95VdRxW3mqCn8RPBJ'},"{'href': None, 'total': 1881026}","['pop rap', 'portland hip hop', 'rap', 'underground hip hop']",https://api.spotify.com/v1/artists/3Gm5F95VdRxW3mqCn8RPBJ,3Gm5F95VdRxW3mqCn8RPBJ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb1f98760ed5b47b21eaf56e8f', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051741f98760ed5b47b21eaf56e8f', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1781f98760ed5b47b21eaf56e8f', 'width': 160}]",Aminé,68,artist,spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ
4,{'spotify': 'https://open.spotify.com/artist/28Ky95tmlHktB96DBUoB0g'},"{'href': None, 'total': 220661}","['brostep', 'complextro', 'dancefloor dnb', 'edm', 'gaming edm']",https://api.spotify.com/v1/artists/28Ky95tmlHktB96DBUoB0g,28Ky95tmlHktB96DBUoB0g,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb689bacb06d5215738d72227a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174689bacb06d5215738d72227a', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178689bacb06d5215738d72227a', 'width': 160}]",Tristam,49,artist,spotify:artist:28Ky95tmlHktB96DBUoB0g
5,{'spotify': 'https://open.spotify.com/artist/1SFSz2SewAsgPeFvGmAouI'},"{'href': None, 'total': 23337}",['gaming edm'],https://api.spotify.com/v1/artists/1SFSz2SewAsgPeFvGmAouI,1SFSz2SewAsgPeFvGmAouI,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebb97f92774a51db269d30473a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174b97f92774a51db269d30473a', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178b97f92774a51db269d30473a', 'width': 160}]",Braken,41,artist,spotify:artist:1SFSz2SewAsgPeFvGmAouI
6,{'spotify': 'https://open.spotify.com/artist/0lLY20XpZ9yDobkbHI7u1y'},"{'href': None, 'total': 351516}","['brostep', 'complextro', 'danish electronic', 'edm', 'electro house', 'glitch', 'speedrun']",https://api.spotify.com/v1/artists/0lLY20XpZ9yDobkbHI7u1y,0lLY20XpZ9yDobkbHI7u1y,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb0fb1220e7e3ace47ebad023e', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051740fb1220e7e3ace47ebad023e', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1780fb1220e7e3ace47ebad023e', 'width': 160}]",Pegboard Nerds,51,artist,spotify:artist:0lLY20XpZ9yDobkbHI7u1y
7,{'spotify': 'https://open.spotify.com/artist/28Ky95tmlHktB96DBUoB0g'},"{'href': None, 'total': 220661}","['brostep', 'complextro', 'dancefloor dnb', 'edm', 'gaming edm']",https://api.spotify.com/v1/artists/28Ky95tmlHktB96DBUoB0g,28Ky95tmlHktB96DBUoB0g,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb689bacb06d5215738d72227a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174689bacb06d5215738d72227a', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178689bacb06d5215738d72227a', 'width': 160}]",Tristam,49,artist,spotify:artist:28Ky95tmlHktB96DBUoB0g
8,{'spotify': 'https://open.spotify.com/artist/6cEuCEZu7PAE9ZSzLLc2oQ'},"{'href': None, 'total': 2506615}","['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']",https://api.spotify.com/v1/artists/6cEuCEZu7PAE9ZSzLLc2oQ,6cEuCEZu7PAE9ZSzLLc2oQ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb20dfb8f52ef4926a22e552c8', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517420dfb8f52ef4926a22e552c8', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17820dfb8f52ef4926a22e552c8', 'width': 160}]",R3HAB,75,artist,spotify:artist:6cEuCEZu7PAE9ZSzLLc2oQ
9,{'spotify': 'https://open.spotify.com/artist/06cLuOP0p7VAnBnqil1eWX'},"{'href': None, 'total': 92317}","['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'russian edm']",https://api.spotify.com/v1/artists/06cLuOP0p7VAnBnqil1eWX,06cLuOP0p7VAnBnqil1eWX,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb2e73f7993ea3038a2f78c046', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051742e73f7993ea3038a2f78c046', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1782e73f7993ea3038a2f78c046', 'width': 160}]",Swanky Tunes,42,artist,spotify:artist:06cLuOP0p7VAnBnqil1eWX
10,{'spotify': 'https://open.spotify.com/artist/5U1SD4dkb35G7e1JVdqkWJ'},"{'href': None, 'total': 831}",[],https://api.spotify.com/v1/artists/5U1SD4dkb35G7e1JVdqkWJ,5U1SD4dkb35G7e1JVdqkWJ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d1af6f048fd33f721739b1b6', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02d1af6f048fd33f721739b1b6', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851d1af6f048fd33f721739b1b6', 'width': 64}]",Max C,35,artist,spotify:artist:5U1SD4dkb35G7e1JVdqkWJ
11,{'spotify': 'https://open.spotify.com/artist/5nki7yRhxgM509M5ADlN1p'},"{'href': None, 'total': 1004645}","['edm', 'electro house', 'future house', 'house', 'pop dance', 'progressive electro house', 'progressive house']",https://api.spotify.com/v1/artists/5nki7yRhxgM509M5ADlN1p,5nki7yRhxgM509M5ADlN1p,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb021c23c69e01f3e917264393', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174021c23c69e01f3e917264393', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178021c23c69e01f3e917264393', 'width': 160}]",Oliver Heldens,67,artist,spotify:artist:5nki7yRhxgM509M5ADlN1p
